"value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI" "size.interval"
"374" 0.0326 "0.9" 0.08 "High specificity - uncorrected" 0.102428153291506 0.081981981981982 0.121862348178138 0.039880366196156
"375" 0.2051 "0.9" 0.01 "Max Youden - uncorrected" 0.0180090149699296 -0.00341296928327642 0.039179675543312 0.0425926448265884
"376" 0.0113 "0.9" 0.01 "High specificity - uncorrected" 0.00283806769678099 -0.0222363405336725 0.0192307692307693 0.0414671097644418
"377" 0.3495 "0.8" 0.08 "Max Youden - uncorrected" 0.0588482369111687 0.023240072202166 0.0931837791199313 0.0699437069177653
"378" 0.0218 "0.8" 0.08 "High specificity - uncorrected" 0.124958791504807 0.072046109510088 0.166019417475729 0.093973307965641
"381" 0.2384 "0.9" 0.04 "Max Youden - uncorrected" 0.0432575838849781 0.0211132437619963 0.06582976117575 0.0447165174137537
"382" 0.0184 "0.9" 0.04 "High specificity - uncorrected" 0.0460652147183385 0.0162538699690402 0.0704355885078781 0.0541817185388379
"383" 0.2232 "0.9" 0.01 "Max Youden - uncorrected" -0.0110157477957942 -0.0349247036206345 0.0128762022959975 0.047800905916632
"384" 0.0101 "0.9" 0.01 "High specificity - uncorrected" 0.000296288618662883 -0.0167664670658684 0.0170293282876067 0.0337957953534751
"385" 0.2778 "0.9" 0.08 "Max Youden - uncorrected" 0.083115109746668 0.0612012987012988 0.104199066874028 0.0429977681727292
"386" 0.0272 "0.9" 0.08 "High specificity - uncorrected" 0.0920382329212893 0.0705059203444558 0.112612612612612 0.0421066922681562
"387" 0.1932 "0.9" 0.01 "Max Youden - uncorrected" 0.00997514033569637 -0.0118558330698703 0.0312126642771803 0.0430684973470506
"388" 0.0139 "0.9" 0.01 "High specificity - uncorrected" 0.0185999451072497 0.00477099236641275 0.03369384359401 0.0289228512275973
"389" 0.2772 "0.85" 0.01 "Max Youden - uncorrected" -0.0056281140872418 -0.034746086292478 0.0276973207820422 0.0624434070745202
"390" 0.011 "0.85" 0.01 "High specificity - uncorrected" 0.00507555376878431 -0.0471204188481682 0.0369718309859154 0.0840922498340836
"391" 0.2403 "0.9" 0.04 "Max Youden - uncorrected" 0.0462004016521631 0.0222081218274112 0.0673255095738111 0.0451173877463999
"392" 0.0201 "0.9" 0.04 "High specificity - uncorrected" 0.0545274965035718 0.0350418410041837 0.0761166818596168 0.0410748408554331
"399" 0.3714 "0.8" 0.08 "Max Youden - uncorrected" 0.10288641963033 0.0708872046366475 0.133171378091873 0.0622841734552255
"400" 0.0118 "0.8" 0.08 "High specificity - uncorrected" 0.0332338664535872 -0.0111111111111117 0.0803030303030315 0.0914141414141432
